"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitSim","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"facebook","1_84_2","revenue","facebook",2022-07-04,2025-06-23,"156 weeks",0.1,2310853.38449492,0.9,20797680.4604543,3,0,0,0.7,16175973.6914644,3604931279.81207,27408373340.7386,23108533.8449492,175694700.902171,0.131526640964638,3604931279.81207,27408373340.7386,23108533.8449492,175694700.902171,0.131526640964638,23108533.8449492,175694700.902171,0.131526640964638,27408373340.7386,6059.71957562885,6680.34505163508,33959.2658935876,0.000208525400921644,5297645.47939966,0.178440829510778,0.000262228647489608,3813.4658801519,6410.25641025641,-0.99996351479938,2310853.38449492,-0.9,15285639.8907122,-0.912998856469647,0.151178059997281,2384559822.9511,2.3889307612046e-23,-1,6410.25641025431,-0.99996351479938,3.72673198748039e-27,999999.999999672,1352.26865780701,0.000253614687608206,19968.6228887753,3115105.17064894,0.0677196752795177,0.000585181503456815,1708.87151096326,-0.776843030287144,800.27700755718,0.000221328215843641,18609.5207309428,2903085.23402708,0.0430036334157992,3.34993805828699e+25,2.98512982210589e-26,-0.867934976599287,-0.411983081396766,-0.452004622559972
"instagram","1_84_2","revenue","instagram",2022-07-04,2025-06-23,"156 weeks",0.1,1000341.15491748,0.9,9003070.39425732,3,0,0,0.7,7002388.08442236,1560532201.67127,27408373340.7386,10003411.5491748,175694700.902171,0.0569363304516785,1560532201.67127,27408373340.7386,10003411.5491748,175694700.902171,0.0569363304516785,10003411.5491748,175694700.902171,0.0569363304516785,27408373340.7386,3041.8944860369,3021.05549302271,33959.2658935876,0.000406342050155217,5297645.47939966,0.0895748010445446,0.000304085708268978,3288.54652753181,6410.25641025641,-0.99996351479938,1000341.15491748,-0.9,15285639.8907122,-0.912998856469647,0.0654431978032731,2384559822.9511,3.1487805265955e-20,-1,6410.25641025431,-0.99996351479938,4.91209762149059e-24,999999.999999672,217.556752737344,0.000143766840835724,19968.6228887753,3115105.17064894,0.0108949302087144,0.000217482557493389,4598.06989362998,-0.928479849075638,98.1587670349358,9.49902287743498e-05,18609.5207309428,2903085.23402708,0.00527465314416847,3.11735817107159e+21,3.20784441544056e-22,-0.967731041465932,-0.411983081396766,-0.452004622559972
"print_media","1_84_2","revenue","print_media",2022-07-04,2025-06-23,"156 weeks",0.1,614338.252288855,0.9,5529044.27059969,3,0,0,0.7,4300367.76602198,958367673.570613,27408373340.7386,6143382.52288855,175694700.902171,0.0349662368377819,958367673.570613,27408373340.7386,6143382.52288855,175694700.902171,0.0349662368377819,6143382.52288855,175694700.902171,0.0349662368377819,27408373340.7386,4376.54204067247,4323.50978079664,33959.2658935876,0.000800684680143604,5297645.47939966,0.128876226429231,0.000712399402831694,1403.70695992323,6410.25641025641,-0.99996351479938,614338.252288855,-0.9,15285639.8907122,-0.912998856469647,0.0401905485593794,2384559822.9511,6410.25641025431,-0.998956559129051,6410.25641025431,-0.99996351479938,1,999999.999999672,734.752836444185,0.000423345832246014,19968.6228887753,3115105.17064894,0.036795368440615,0.00119600697776298,836.115523230814,-0.832115668119736,497.840256362845,0.000355274700837072,18609.5207309428,2903085.23402708,0.0267519117531633,0.0776630799926294,12.8761311049588,-0.886248035152805,-0.411983081396766,-0.452004622559972
"radio","1_84_2","revenue","radio",2022-07-04,2025-06-23,"156 weeks",0.1,2283830.19950487,0.9,20554471.7955438,3,0,0,0.7,15986811.3965341,3562775111.22759,27408373340.7386,22838301.9950487,175694700.902171,0.12998856469647,3562775111.22759,27408373340.7386,22838301.9950487,175694700.902171,0.12998856469647,22838301.9950487,175694700.902171,0.12998856469647,27408373340.7386,0,0,33959.2658935876,0,5297645.47939966,0,0,Inf,6410.25641025641,-0.99996351479938,0,-1,15285639.8907122,-0.912998856469647,0,2384559822.9511,0,-1,6410.25641025431,-0.99996351479938,0,999999.999999672,0,0,19968.6228887753,3115105.17064894,0,NA,NA,NA,0,0,18609.5207309428,2903085.23402708,0,NA,NA,NA,-0.411983081396766,-0.452004622559972
"tv","1_84_2","revenue","tv",2022-07-04,2025-06-23,"156 weeks",0.1,7513828.016671,0.9,67624452.150039,3,0,0,0.7,52596796.116697,11721571706.0068,27408373340.7386,75138280.16671,175694700.902171,0.427663895273359,11721571706.0068,27408373340.7386,75138280.16671,175694700.902171,0.427663895273359,75138280.16671,175694700.902171,0.427663895273359,27408373340.7386,11455.2034731208,11804.9516793768,33959.2658935876,2.71807457465911e-05,5297645.47939966,0.337321881721944,0.000152454959678409,6559.31431886122,6410.25641025641,-0.99996351479938,7513828.016671,-0.9,15285639.8907122,-0.912998856469647,0.491561234622341,2384559822.9511,5.42491583323934e-20,-1,6410.25641025431,-0.99996351479938,8.46286869985614e-24,999999.999999672,9928.995871654,2.82376913673943e-05,19968.6228887753,3115105.17064894,0.497229875437994,0.00132142974920699,756.756082266285,-0.133232692465741,9716.47515345236,2.83291828964138e-05,18609.5207309428,2903085.23402708,0.522123879165592,1.79108311578181e+23,5.58321381731914e-24,-0.151785022740826,-0.411983081396766,-0.452004622559972
"youtube","1_84_2","revenue","youtube",2022-07-04,2025-06-23,"156 weeks",0.1,3846279.08233994,0.9,34616511.7410595,3,0,0,0.7,26923953.5763796,6000195368.4503,27408373340.7386,38462790.8233994,175694700.902171,0.218918331776074,6000195368.4503,27408373340.7386,38462790.8233994,175694700.902171,0.218918331776074,38462790.8233994,175694700.902171,0.218918331776074,27408373340.7386,9025.90631812857,9360.81389143276,33959.2658935876,3.7373401937657e-05,5297645.47939966,0.265786261293502,0.000234665923218383,4261.37713684738,6410.25641025641,-0.99996351479938,3846279.08233994,-0.9,15285639.8907122,-0.912998856469647,0.251626959017725,2384559822.9511,5.42236611514313e-20,-1,6410.25641025431,-0.99996351479938,8.45889113962606e-24,999999.999999672,7735.04877013274,5.98999031353742e-05,19968.6228887753,3115105.17064894,0.387360150633159,0.00201104719770543,497.253371845765,-0.14301694505771,7496.76954653549,6.40936741547193e-05,18609.5207309428,2903085.23402708,0.402845922521277,1.38256425098245e+23,7.23293690900368e-24,-0.169416423979695,-0.411983081396766,-0.452004622559972
